TitleName,Publisher
 FSX: Steam Edition - Monster Mission Edition,Xbox
Aeolus,Xbox
Age of Empires 25th Anniversary Collection (retail),Xbox
Age of Empires Anthology (retail),Xbox
Age of Empires Definitive Collection (retail),Xbox
Age of Empires I &amp; II: Definitive Edition Bundle (retail),Xbox
Age of Empires II (2013),Xbox
Age of Empires II (2013) + The Forgotten + The African Kingdoms + The Rise of the Rajas (retail),Xbox
Age of Empires II (2013): Rise of the Rajas,Xbox
Age of Empires II (2013): The African Kingdoms,Xbox
Age of Empires II (2013): The Forgotten,Xbox
Age of Empires II + DLC - Beta Testing (retail),Xbox
Age of Empires II HD + The Forgotten Expansion,Xbox
Age of Empires II HD + The Forgotten Expansion + The African Kingdoms Expansion,Xbox
Age of Empires II: Definitive Edition,Xbox
Age of Empires II: Definitive Edition - Dawn of the Dukes,Xbox
Age of Empires II: Definitive Edition - Dynasties of India,Xbox
Age of Empires II: Definitive Edition - Lords of the West,Xbox
Age of Empires II: Definitive Edition - Return of Rome,Xbox
Age of Empires II: Definitive Edition Collection (retail),Xbox
Age of Empires II: Definitive Edition Soundtrack,Xbox
Age of Empires III + Age of Empires II Bundle,Xbox
Age of Empires III:  DE The African Royals,Xbox
Age of Empires III: DE - The African Royals - PREVIEW,Xbox
Age of Empires III: Definitive Edition,Xbox
Age of Empires III: Definitive Edition - Knights of the Mediterranean,Xbox
Age of Empires III: Definitive Edition - Mexico Civilization,Xbox
Age of Empires III: Definitive Edition - United States Civilization,Xbox
Age of Empires III: Definitive Edition (Base Game),Xbox
Age of Empires III: Definitive Edition – Hero Cosmetic Pack – Kunoichi,Xbox
Age of Empires III: Definitive Edition – Hero Cosmetic Pack – Lizzie,Xbox
Age of Empires III: Definitive Edition – Hero Cosmetic Pack – Vol. 1,Xbox
Age of Empires III: Definitive Edition Beta,Xbox
Age of Empires III: Definitive Edition Soundtrack,Xbox
Age of Empires IV,Xbox
Age of Empires IV (Pre-Order),Xbox
Age of Empires IV Content Editor (Beta),Xbox
Age of Empires IV Ranked Seasons Closed Preview,Xbox
